_open_time,Open,High,Low,Close,Volume
2025-12-01,875.3,877.12,801.7,826.61,342746.385
2025-12-02,826.6,885.0,820.46,876.61,233149.68
2025-12-03,876.6,922.63,873.6,920.76,227309.929
2025-12-04,920.77,928.24,886.79,899.92,165779.563
2025-12-05,899.92,907.92,870.18,883.57,137493.999
2025-12-06,883.57,897.9,878.01,890.38,81289.981
2025-12-07,890.38,906.0,870.23,894.37,131888.814
2025-12-08,894.38,913.29,888.93,897.12,121354.06
2025-12-09,897.13,928.0,881.78,897.3,209645.573
2025-12-10,897.3,915.0,884.27,893.43,186333.021
2025-12-11,893.43,894.7,859.54,885.91,182476.864
2025-12-12,885.92,896.07,870.58,881.58,110640.466
2025-12-13,881.59,904.22,880.32,896.82,92401.054
2025-12-14,896.82,899.5,870.11,877.27,110914.028
2025-12-15,877.27,895.42,840.75,858.6,210867.871
2025-12-16,858.61,878.44,847.0,875.63,240835.336
2025-12-17,875.64,876.16,833.39,843.07,378073.209
2025-12-18,843.07,853.49,818.39,830.07,432024.878
2025-12-19,830.08,862.33,822.38,856.17,1227346.957
2025-12-20,856.17,859.7,850.9,854.17,57015.132
2025-12-21,854.17,859.91,845.5,858.64,69986.817
2025-12-22,858.63,871.0,850.85,858.66,147275.988
2025-12-23,858.67,861.46,838.24,844.3,103894.874
2025-12-24,844.3,850.0,835.21,846.58,84917.781
2025-12-25,846.57,847.99,826.81,829.64,72777.087
2025-12-26,829.63,847.16,821.21,834.72,120232.786
2025-12-27,834.72,846.54,834.0,845.04,89882.366
2025-12-28,845.05,867.22,839.2,859.32,91601.986
2025-12-29,859.32,872.12,846.0,852.46,127151.447
2025-12-30,852.46,864.05,848.7,861.65,73233.047
2025-12-31,861.66,877.29,857.69,864.3,149994.618
