_open_time,Open,High,Low,Close,Volume
2021-07-01,303.75,304.0,281.0,287.43,1388151.0265
2021-07-02,287.49,290.74,276.4,287.17,1003331.2269
2021-07-03,287.17,303.21,282.77,298.13,1016731.5662
2021-07-04,298.18,314.91,292.58,307.62,1309414.0255
2021-07-05,307.63,307.68,291.0,302.02,1403218.2408
2021-07-06,302.04,322.5,301.8,319.92,2066912.3595
2021-07-07,319.91,340.0,318.23,327.51,1779058.2937
2021-07-08,327.51,328.21,304.4,310.14,1644090.8501
2021-07-09,310.08,319.69,301.43,317.09,1106411.786
2021-07-10,317.09,321.44,310.57,316.12,818970.9225
2021-07-11,316.12,326.82,312.21,322.16,799617.835
2021-07-12,322.17,334.37,308.57,316.12,1322836.6575
2021-07-13,316.11,318.33,305.2,308.94,930032.3155
2021-07-14,308.98,313.46,290.24,309.4,1430288.4026
2021-07-15,309.33,324.33,301.32,316.11,2185210.8398
2021-07-16,316.12,323.5,301.5,302.88,1456105.4019
2021-07-17,302.94,306.71,295.0,300.52,1030879.9611
2021-07-18,300.56,309.18,298.7,302.1,815497.3527
2021-07-19,302.04,303.94,278.85,280.54,1318041.7074
2021-07-20,280.54,283.6,254.52,264.44,1796600.5803
2021-07-21,264.43,298.92,261.02,293.26,1740736.0226
2021-07-22,293.27,298.44,287.3,293.36,1173507.9432
2021-07-23,293.39,301.5,281.01,299.27,1640999.5389
2021-07-24,299.29,307.79,295.43,301.56,1438901.3811
2021-07-25,301.53,304.44,292.34,302.56,1083557.277
2021-07-26,302.56,328.0,301.0,304.0,2575554.2802
2021-07-27,304.0,318.41,297.61,313.48,1678708.0635
2021-07-28,313.47,318.68,308.0,313.8,1308249.13
2021-07-29,313.84,320.31,308.6,317.03,998946.1839
2021-07-30,317.1,325.66,306.16,322.58,1297421.6445
2021-07-31,322.58,338.44,317.21,332.38,1393753.965
