_open_time,Open,High,Low,Close,Volume
2022-05-01,84.63,93.12,84.15,89.68,2353897.93
2022-05-02,89.67,90.89,85.1,87.5,1915805.97
2022-05-03,87.49,88.81,84.66,85.86,1562366.45
2022-05-04,85.86,93.06,85.47,92.77,2246070.16
2022-05-05,92.77,95.25,81.32,84.52,3311421.92
2022-05-06,84.52,84.84,79.98,81.68,2607225.81
2022-05-07,81.67,82.33,77.03,78.86,1906773.25
2022-05-08,78.86,79.41,73.69,75.38,2736836.4
2022-05-09,75.39,77.21,61.7,62.16,5846036.682
2022-05-10,62.16,74.03,60.13,66.9,7855041.331
2022-05-11,66.9,68.44,43.17,50.9,11626123.021
2022-05-12,50.9,54.29,37.37,44.64,13635820.465
2022-05-13,44.64,56.99,43.83,48.92,8718594.5
2022-05-14,48.93,53.91,45.81,52.43,5099487.21
2022-05-15,52.43,59.31,49.63,58.83,3885558.77
2022-05-16,58.83,58.83,51.89,53.79,5418221.63
2022-05-17,53.8,58.22,53.04,57.02,4346066.59
2022-05-18,57.01,57.85,49.38,49.93,4470848.03
2022-05-19,49.93,54.09,48.2,52.2,4794335.94
2022-05-20,52.2,53.62,47.81,49.43,4811635.67
2022-05-21,49.42,51.21,48.43,50.31,1969104.94
2022-05-22,50.3,53.2,49.69,52.48,2723718.45
2022-05-23,52.48,54.68,48.61,49.17,4201654.88
2022-05-24,49.17,50.85,47.1,49.67,3645448.65
2022-05-25,49.67,50.55,47.57,47.98,3294918.76
2022-05-26,47.97,48.66,41.69,43.44,7025986.74
2022-05-27,43.44,43.95,39.93,41.17,7547814.8
2022-05-28,41.18,45.08,40.33,44.25,4317517.06
2022-05-29,44.24,45.67,41.79,44.98,4628871.1
2022-05-30,44.98,48.39,44.27,47.22,5476313.14
2022-05-31,47.22,48.24,44.56,45.77,4479536.73
