_open_time,Open,High,Low,Close,Volume
2022-07-01,19942.21,20918.35,18975.0,19279.8,111844.59494
2022-07-02,19279.8,19467.39,18977.01,19252.81,46180.3021
2022-07-03,19252.82,19647.63,18781.0,19315.83,51087.46631
2022-07-04,19315.83,20354.01,19055.31,20236.71,74814.04601
2022-07-05,20236.71,20750.0,19304.4,20175.83,96041.13756
2022-07-06,20175.84,20675.22,19761.25,20564.51,82439.5808
2022-07-07,20564.51,21838.1,20251.68,21624.98,85014.58261
2022-07-08,21624.99,22527.37,21189.26,21594.75,403081.57349
2022-07-09,21594.75,21980.0,21322.12,21591.83,178417.84468
2022-07-10,21592.15,21607.65,20655.0,20862.47,192188.21556
2022-07-11,20861.11,20868.48,19875.23,19963.61,137535.40724
2022-07-12,19963.61,20059.42,19240.0,19328.75,139506.45862
2022-07-13,19331.28,20366.61,18910.94,20234.87,209250.24888
2022-07-14,20234.87,20900.0,19616.07,20588.84,174809.21696
2022-07-15,20588.84,21200.0,20382.29,20830.04,143343.3049
2022-07-16,20830.04,21588.94,20478.61,21195.6,121011.67393
2022-07-17,21195.6,21684.54,20750.01,20798.16,118229.4525
2022-07-18,20799.58,22777.63,20762.45,22432.58,239942.73132
2022-07-19,22432.58,23800.0,21579.54,23396.62,263770.76574
2022-07-20,23398.48,24276.74,22906.19,23223.3,238762.17094
2022-07-21,23223.3,23442.77,22341.46,23152.19,184817.68191
2022-07-22,23152.19,23756.49,22500.0,22684.83,171598.43966
2022-07-23,22684.83,23000.77,21934.57,22451.07,122137.77375
2022-07-24,22448.58,23014.64,22257.15,22579.68,115189.67277
2022-07-25,22577.13,22666.0,21250.0,21310.9,180344.76643
2022-07-26,21310.9,21347.82,20706.5,21254.67,177817.24326
2022-07-27,21254.67,23112.63,21042.53,22952.45,210971.19796
2022-07-28,22954.31,24199.72,22582.13,23842.93,236029.0741
2022-07-29,23845.25,24442.66,23414.03,23773.75,198298.50623
2022-07-30,23777.28,24668.0,23502.25,23643.51,151060.13211
2022-07-31,23644.64,24194.82,23227.31,23293.32,127743.32483
