_open_time,Open,High,Low,Close,Volume
2025-03-01,148.18,151.25,138.57,143.66,4151855.758
2025-03-02,143.66,179.85,140.04,178.71,13474639.846
2025-03-03,178.72,179.47,139.21,142.16,11096202.04
2025-03-04,142.16,147.0,130.66,144.79,10389598.334
2025-03-05,144.8,149.73,140.18,146.28,4895520.585
2025-03-06,146.27,152.9,142.44,143.31,4451879.661
2025-03-07,143.3,150.88,135.04,139.39,7267412.771
2025-03-08,139.39,141.09,135.29,137.01,2135751.393
2025-03-09,137.01,139.88,125.41,126.51,3909495.652
2025-03-10,126.52,131.57,115.47,118.32,6654109.331
2025-03-11,118.32,128.43,112.0,125.35,6435277.863
2025-03-12,125.35,131.33,121.22,126.62,4410502.14
2025-03-13,126.61,128.76,120.76,123.37,2824584.961
2025-03-14,123.36,136.03,122.98,133.54,3607725.492
2025-03-15,133.53,136.53,132.44,135.86,1918077.49
2025-03-16,135.86,136.71,125.21,126.13,2764260.892
2025-03-17,126.13,130.64,125.55,128.01,2707611.094
2025-03-18,128.01,128.19,121.76,125.33,3181789.699
2025-03-19,125.33,136.08,124.2,135.33,4170497.991
2025-03-20,135.33,136.12,126.65,127.6,2593287.986
2025-03-21,127.6,130.18,124.81,128.48,2400422.348
2025-03-22,128.47,131.84,127.8,128.51,1498168.196
2025-03-23,128.5,134.06,128.21,132.84,1763485.986
2025-03-24,132.85,144.96,132.04,141.01,4554131.645
2025-03-25,141.01,147.48,138.17,143.64,3529958.67
2025-03-26,143.64,145.49,135.89,137.34,3099523.287
2025-03-27,137.35,140.22,135.63,138.43,2466162.683
2025-03-28,138.44,139.05,127.69,129.49,3892191.365
2025-03-29,129.5,130.54,122.68,124.58,2610065.515
2025-03-30,124.58,127.08,123.0,124.82,1743775.296
2025-03-31,124.83,127.81,122.75,124.54,3730628.853
