_open_time,Open,High,Low,Close,Volume
2021-09-01,108.27,119.72,105.89,110.71,8028303.79
2021-09-02,110.71,131.96,109.18,128.23,9206853.472
2021-09-03,128.2,148.99,128.12,146.4,11927061.37
2021-09-04,146.36,150.6,135.73,138.88,6134062.526
2021-09-05,138.88,144.99,134.74,142.0,4619885.42
2021-09-06,141.98,166.13,136.92,164.22,8435542.353
2021-09-07,164.19,195.48,128.01,173.46,24376489.011
2021-09-08,173.49,198.0,146.5,191.02,16666845.8
2021-09-09,191.02,216.0,180.7,187.9,16349677.82
2021-09-10,187.89,197.41,167.82,179.6,9055410.7
2021-09-11,179.6,193.51,175.14,179.04,6794663.25
2021-09-12,179.05,181.75,170.15,174.29,3661211.64
2021-09-13,174.31,175.0,150.3,169.53,8423839.46
2021-09-14,169.54,171.83,142.6,158.88,7981396.52
2021-09-15,158.72,166.5,153.69,158.79,6107319.6
2021-09-16,158.77,163.5,147.35,152.29,4739595.73
2021-09-17,152.3,153.55,134.0,147.58,7629925.55
2021-09-18,147.59,171.47,144.1,169.22,8229799.94
2021-09-19,169.22,170.96,150.6,152.76,4945800.1
2021-09-20,152.78,153.43,130.26,132.77,10153368.71
2021-09-21,132.77,144.64,116.0,124.29,9608867.72
2021-09-22,124.3,151.36,122.1,148.02,7460596.34
2021-09-23,148.02,152.5,142.92,149.91,5188932.77
2021-09-24,149.9,151.2,128.15,139.13,6710404.45
2021-09-25,139.11,144.18,133.54,136.06,3212733.31
2021-09-26,136.05,140.81,124.8,135.64,4342156.13
2021-09-27,135.7,148.92,133.72,136.35,5195624.27
2021-09-28,136.34,139.4,128.17,132.2,3899945.58
2021-09-29,132.22,140.17,131.12,135.25,3685498.28
2021-09-30,135.24,142.95,134.02,141.37,3361454.58
