_open_time,Open,High,Low,Close,Volume
2021-08-01,332.38,347.8,328.99,332.59,1514514.2178
2021-08-02,332.63,338.29,326.17,330.55,1018741.3098
2021-08-03,330.53,334.73,317.02,323.43,1060806.3447
2021-08-04,323.44,337.39,319.78,334.77,969671.4228
2021-08-05,334.78,340.17,323.37,337.91,1263649.4926
2021-08-06,337.92,347.14,331.12,342.39,1267498.9178
2021-08-07,342.39,359.74,340.34,356.18,1545801.188
2021-08-08,356.18,359.87,337.0,341.79,1275768.154
2021-08-09,341.79,357.7,333.15,354.32,1284975.5132
2021-08-10,354.32,376.6,348.0,371.92,1660844.1918
2021-08-11,371.95,408.72,371.09,390.96,1911892.6875
2021-08-12,390.92,406.18,371.59,385.66,1835305.9382
2021-08-13,385.69,411.46,382.91,410.76,1261827.2925
2021-08-14,410.74,418.8,400.0,408.67,1439286.5064
2021-08-15,408.66,415.16,395.88,414.05,1238115.4178
2021-08-16,414.05,437.0,410.79,415.72,1850324.1906
2021-08-17,415.72,435.77,398.77,401.8,1984029.275
2021-08-18,401.86,412.36,385.47,396.15,1750539.5385
2021-08-19,396.23,431.7,390.89,431.27,1852873.4714
2021-08-20,431.21,458.0,421.84,454.93,1691101.5102
2021-08-21,454.92,460.0,443.47,448.74,1426818.8978
2021-08-22,448.74,458.34,437.77,448.68,1135535.8076
2021-08-23,448.69,509.71,445.89,499.06,2660809.0219
2021-08-24,499.06,504.2,461.12,471.62,2080297.6979
2021-08-25,471.62,507.0,470.0,503.19,2242911.0333
2021-08-26,503.17,518.94,471.2,478.1,2229652.231
2021-08-27,478.2,495.0,467.1,494.5,1549790.9246
2021-08-28,494.6,497.0,482.3,486.2,891854.5838
2021-08-29,486.1,495.5,475.0,479.7,910773.939
2021-08-30,479.7,480.9,457.0,460.3,1125497.9612
2021-08-31,460.2,477.8,448.2,463.9,1477345.5552
