_open_time,Open,High,Low,Close,Volume
2018-12-01,4041.27,4299.99,3963.01,4190.02,44840.073481
2018-12-02,4190.98,4312.99,4103.04,4161.01,38912.15479
2018-12-03,4160.55,4179.0,3827.0,3884.01,49094.369163
2018-12-04,3884.76,4085.0,3781.0,3951.64,48489.551613
2018-12-05,3950.98,3970.0,3745.0,3769.84,44004.799448
2018-12-06,3768.44,3899.99,3500.0,3508.75,68378.796943
2018-12-07,3508.75,3549.99,3224.6,3403.55,95145.457442
2018-12-08,3403.57,3495.0,3222.0,3410.93,55365.949949
2018-12-09,3411.36,3658.0,3394.04,3545.37,45956.893296
2018-12-10,3548.49,3610.0,3370.11,3432.88,40989.244553
2018-12-11,3434.01,3480.0,3324.32,3380.39,35920.864154
2018-12-12,3379.23,3492.0,3350.0,3445.0,33922.931286
2018-12-13,3446.38,3460.0,3255.5,3302.06,40040.917013
2018-12-14,3302.06,3335.39,3177.0,3224.17,44492.983807
2018-12-15,3225.19,3276.5,3156.26,3211.72,29796.041436
2018-12-16,3211.71,3294.0,3186.0,3228.67,24628.808538
2018-12-17,3229.22,3585.0,3216.0,3509.08,66761.751697
2018-12-18,3509.03,3678.59,3424.47,3652.98,61369.615257
2018-12-19,3653.0,3912.73,3622.55,3662.22,94137.341014
2018-12-20,3660.01,4120.0,3635.0,4049.62,101543.835986
2018-12-21,4051.86,4139.99,3764.0,3838.66,82343.850112
2018-12-22,3840.25,3979.0,3785.0,3948.91,42822.350872
2018-12-23,3948.91,4021.53,3870.0,3929.71,40117.531529
2018-12-24,3929.71,4198.0,3924.83,4008.01,64647.809129
2018-12-25,4010.11,4020.0,3646.41,3745.79,62725.629432
2018-12-26,3745.56,3837.15,3656.74,3777.74,42629.375817
2018-12-27,3777.74,3813.98,3535.0,3567.91,44097.392912
2018-12-28,3567.89,3887.25,3540.04,3839.26,45964.304987
2018-12-29,3839.0,3892.0,3670.0,3695.32,38874.373903
2018-12-30,3696.71,3903.5,3657.9,3801.91,33222.369262
2018-12-31,3803.12,3810.0,3630.33,3702.9,29991.77835
