_open_time,Open,High,Low,Close,Volume
2018-02-01,1125.96,1164.99,981.0,1041.94,203355.29052
2018-02-02,1041.89,1047.2,783.67,922.3,377375.22874
2018-02-03,923.67,998.0,851.0,971.0,160037.88129
2018-02-04,971.0,975.0,789.0,823.56,186446.0316
2018-02-05,821.6,862.47,634.94,697.92,365516.52899
2018-02-06,697.93,798.0,570.1,779.25,648944.4204
2018-02-07,779.99,849.0,714.18,754.0,356403.4441
2018-02-08,753.19,786.93,751.0,781.66,10516.2619
2018-02-09,781.66,882.2,781.66,877.0,95447.67289
2018-02-10,876.3,911.2,800.0,851.15,214818.06768
2018-02-11,851.15,857.0,768.28,808.99,189323.408
2018-02-12,808.58,877.56,807.46,866.66,143586.93121
2018-02-13,866.39,871.0,820.0,841.57,110305.93537
2018-02-14,841.57,924.99,841.3,919.09,150342.85558
2018-02-15,919.09,946.66,895.59,924.55,155637.78524
2018-02-16,924.55,948.48,901.36,938.67,115540.16349
2018-02-17,938.6,974.0,933.48,969.99,110091.03618
2018-02-18,969.99,978.5,897.0,911.0,160129.79518
2018-02-19,911.0,956.22,906.04,938.11,80099.49534
2018-02-20,939.17,961.0,873.0,882.99,120056.67502
2018-02-21,882.99,908.88,812.87,835.89,176200.55151
2018-02-22,836.35,871.96,786.6,801.49,137561.85113
2018-02-23,801.47,885.0,785.99,851.6,154507.41338
2018-02-24,851.59,875.0,805.0,833.94,89311.5794
2018-02-25,833.92,849.5,813.18,841.19,59431.26474
2018-02-26,841.46,882.0,833.0,867.98,74911.4656
2018-02-27,867.98,897.49,860.69,870.11,63487.68425
2018-02-28,871.84,891.0,850.3,853.5,53620.45209
