Date,Open,High,Low,Close,Volume
2020-01-02,941.4400024414062,962.5599975585938,928.0,928.6400146484375,442381.0
2020-01-03,1002.8800048828125,1007.3599853515625,956.7999877929688,978.5599975585938,752447.0
2020-01-06,1007.3599853515625,1010.6240234375,965.1199951171875,965.1199951171875,407144.0
2020-01-07,970.239990234375,983.0399780273438,950.4000244140625,960.6400146484375,427111.0
2020-01-08,954.239990234375,960.0,917.1199951171875,947.2000122070312,753945.0
2020-01-09,920.3200073242188,929.280029296875,906.8800048828125,907.52001953125,501358.0
2020-01-10,906.239990234375,914.239990234375,893.4400024414062,903.6799926757812,514298.0
2020-01-13,893.4400024414062,903.0399780273438,879.3599853515625,880.6400146484375,440020.0
2020-01-14,882.5599975585938,889.5999755859375,864.6400146484375,874.239990234375,521280.0
2020-01-15,874.239990234375,877.4400024414062,864.6400146484375,871.6799926757812,474861.0
2020-01-16,858.8800048828125,861.1199951171875,848.6400146484375,850.5599975585938,430677.0
2020-01-17,850.5599975585938,867.8400268554688,848.0,852.47998046875,523288.0
2020-01-21,864.0,865.280029296875,841.5999755859375,859.52001953125,646997.0
2020-01-22,842.8800048828125,866.5599975585938,842.8800048828125,866.5599975585938,569870.0
2020-01-23,880.0,894.0800170898438,860.7999877929688,863.3599853515625,545772.0
2020-01-24,849.280029296875,929.9199829101562,845.4400024414062,911.3599853515625,1602141.0
2020-01-27,990.0800170898438,1006.719970703125,967.6799926757812,1005.4400024414062,1292236.0
2020-01-28,981.1199951171875,988.7999877929688,944.6400146484375,949.1199951171875,839828.0
2020-01-29,932.47998046875,965.760009765625,922.8800048828125,950.4000244140625,652542.0
2020-01-30,986.8800048828125,1008.0,934.4000244140625,934.4000244140625,1050109.0
2020-01-31,954.239990234375,1068.800048828125,954.239990234375,1036.800048828125,1680916.0
2020-02-03,1010.5599975585938,1025.280029296875,974.0800170898438,997.1199951171875,807856.0
2020-02-04,954.239990234375,960.6400146484375,935.0399780273438,949.1199951171875,739220.0
2020-02-05,914.5599975585938,942.719970703125,908.7999877929688,908.7999877929688,740552.0
2020-02-06,901.1199951171875,920.3200073242188,896.0,901.760009765625,604681.0
2020-02-07,928.0,938.8800048828125,905.5999755859375,920.3200073242188,727981.0
2020-02-10,928.6400146484375,928.6400146484375,898.5599975585938,902.4000244140625,557675.0
2020-02-11,888.3200073242188,907.52001953125,883.2000122070312,903.6799926757812,576872.0
2020-02-12,887.0399780273438,891.52001953125,856.3200073242188,857.5999755859375,623883.0
2020-02-13,885.760009765625,894.0159912109375,865.9199829101562,876.1599731445312,527550.0
2020-02-14,867.8400268554688,884.1599731445312,862.0800170898438,865.280029296875,524564.0
2020-02-18,881.9199829101562,897.9199829101562,868.47998046875,880.6400146484375,638261.0
2020-02-19,864.6400146484375,874.239990234375,858.8800048828125,867.8400268554688,565133.0
2020-02-20,871.0399780273438,927.3599853515625,864.0,898.5599975585938,1293078.0
2020-02-21,926.719970703125,979.2000122070312,917.760009765625,953.5999755859375,1350458.0
2020-02-24,1098.239990234375,1136.0,1046.4000244140625,1130.8800048828125,2263708.0
2020-02-25,1091.8399658203125,1270.4000244140625,1083.52001953125,1237.760009765625,2811241.0
2020-02-26,1198.0799560546875,1256.9599609375,1156.47998046875,1211.52001953125,2084186.0
2020-02-27,1321.5999755859375,1408.0,1287.0400390625,1408.0,2641470.0
