Date,Open,High,Low,Close,Volume
2020-01-02,33.084999084472656,33.33000183105469,32.73500061035156,33.32500076293945,4235200.0
2020-01-03,31.954999923706055,32.80500030517578,31.905000686645508,32.470001220703125,4674800.0
2020-01-06,31.93000030517578,32.630001068115234,31.889999389648438,32.625,3580600.0
2020-01-07,32.55500030517578,32.89500045776367,32.35499954223633,32.720001220703125,2345000.0
2020-01-08,32.869998931884766,33.46500015258789,32.75,33.040000915527344,3711600.0
2020-01-09,33.40999984741211,33.650001525878906,33.27000045776367,33.63999938964844,2253400.0
2020-01-10,33.67499923706055,33.904998779296875,33.529998779296875,33.71500015258789,2963200.0
2020-01-13,33.8849983215332,34.16999816894531,33.744998931884766,34.084999084472656,2023000.0
2020-01-14,34.1150016784668,34.44499969482422,33.96500015258789,34.23500061035156,4023200.0
2020-01-15,34.279998779296875,34.45500183105469,34.209999084472656,34.310001373291016,3458400.0
2020-01-16,34.54499816894531,34.75,34.529998779296875,34.73500061035156,4323600.0
2020-01-17,34.724998474121094,34.7599983215332,34.345001220703125,34.64500045776367,3689000.0
2020-01-21,34.439998626708984,34.89500045776367,34.42499923706055,34.53499984741211,3358600.0
2020-01-22,34.82500076293945,34.845001220703125,34.189998626708984,34.189998626708984,3191400.0
2020-01-23,34.150001525878906,34.505001068115234,33.84000015258789,34.45500183105469,4497400.0
2020-01-24,34.72999954223633,34.78499984741211,33.099998474121094,33.48500061035156,8591000.0
2020-01-27,32.040000915527344,32.439998626708984,31.704999923706055,31.704999923706055,8281600.0
2020-01-28,32.119998931884766,32.70500183105469,32.005001068115234,32.63999938964844,5177600.0
2020-01-29,32.939998626708984,33.08000183105469,32.36000061035156,32.595001220703125,3837800.0
2020-01-30,31.979999542236328,32.880001068115234,31.635000228881836,32.880001068115234,6601600.0
2020-01-31,32.44499969482422,32.51499938964844,30.450000762939453,30.969999313354492,8410200.0
2020-02-03,31.459999084472656,32.0,31.25,31.614999771118164,4868600.0
2020-02-04,32.334999084472656,32.650001525878906,32.244998931884766,32.439998626708984,5544600.0
2020-02-05,33.02000045776367,33.1150016784668,32.540000915527344,33.1150016784668,4164800.0
2020-02-06,33.255001068115234,33.34000015258789,32.91999816894531,33.26499938964844,3600400.0
2020-02-07,32.78499984741211,33.18000030517578,32.57500076293945,32.9900016784668,4423000.0
2020-02-10,32.79999923706055,33.29999923706055,32.775001525878906,33.189998626708984,3120800.0
2020-02-11,33.505001068115234,33.59000015258789,33.154998779296875,33.20500183105469,4607000.0
2020-02-12,33.53499984741211,34.08000183105469,33.435001373291016,34.03499984741211,4231600.0
2020-02-13,33.46500015258789,33.900001525878906,33.36000061035156,33.689998626708984,3444400.0
2020-02-14,33.86000061035156,33.970001220703125,33.54999923706055,33.91999816894531,3397600.0
2020-02-18,33.630001068115234,33.845001220703125,33.27000045776367,33.54999923706055,4769200.0
2020-02-19,33.89500045776367,34.0,33.720001220703125,33.83000183105469,3409400.0
2020-02-20,33.75,33.900001525878906,32.650001525878906,33.224998474121094,7769200.0
2020-02-21,32.71500015258789,32.85499954223633,31.739999771118164,32.189998626708984,8467400.0
2020-02-24,29.729999542236328,30.614999771118164,29.094999313354492,29.135000228881836,11395200.0
2020-02-25,29.790000915527344,29.8799991607666,27.420000076293945,27.815000534057617,13410800.0
2020-02-26,28.31999969482422,28.80500030517578,27.649999618530273,28.19499969482422,12445400.0
2020-02-27,26.950000762939453,27.315000534057617,25.954999923706055,25.969999313354492,12582800.0
2020-02-28,24.454999923706055,25.489999771118164,24.155000686645508,25.3700008392334,14879600.0
2020-03-02,25.719999313354492,25.934999465942383,24.96500015258789,25.885000228881836,10943400.0
2020-03-03,25.899999618530273,26.415000915527344,24.114999771118164,24.43000030517578,16041600.0
2020-03-04,24.975000381469727,25.30500030517578,24.540000915527344,25.104999542236328,13673000.0
2020-03-05,24.040000915527344,24.31999969482422,22.690000534057617,23.155000686645508,14629600.0
2020-03-06,21.059999465942383,22.125,20.6299991607666,21.934999465942383,21942200.0
2020-03-09,17.90999984741211,19.885000228881836,17.780000686645508,19.209999084472656,12849800.0
2020-03-10,20.434999465942383,20.479999542236328,19.274999618530273,20.155000686645508,22404600.0
2020-03-11,19.344999313354492,19.450000762939453,18.545000076293945,18.889999389648438,22478600.0
2020-03-12,17.21500015258789,18.149999618530273,16.299999237060547,16.649999618530273,22826200.0
2020-03-13,17.78499984741211,17.809999465942383,16.364999771118164,17.540000915527344,22250400.0
2020-03-16,15.210000038146973,15.850000381469727,13.755000114440918,14.114999771118164,19313600.0
2020-03-17,14.600000381469727,14.96500015258789,13.9399995803833,14.444999694824219,26613200.0
2020-03-18,13.550000190734863,14.020000457763672,12.010000228881836,13.135000228881836,33979800.0
2020-03-19,12.805000305175781,14.40999984741211,12.454999923706055,13.845000267028809,33498800.0
2020-03-20,14.145000457763672,14.864999771118164,13.770000457763672,14.055000305175781,43683400.0
2020-03-23,14.520000457763672,15.335000038146973,14.100000381469727,15.125,33305000.0
2020-03-24,16.450000762939453,16.81999969482422,15.524999618530273,15.65999984741211,37116000.0
2020-03-25,15.479999542236328,15.529999732971191,14.699999809265137,15.0649995803833,20306200.0
2020-03-26,15.225000381469727,15.795000076293945,15.175000190734863,15.675000190734863,20011400.0
2020-03-27,14.859999656677246,15.274999618530273,14.859999656677246,14.925000190734863,13974800.0
2020-03-30,14.899999618530273,15.175000190734863,14.664999961853027,15.125,14369200.0
2020-03-31,15.085000038146973,15.630000114440918,15.039999961853027,15.505000114440918,12479600.0
2020-04-01,14.970000267028809,15.359999656677246,14.720000267028809,14.850000381469727,9258200.0
2020-04-02,14.9399995803833,15.270000457763672,14.805000305175781,15.229999542236328,10448600.0
2020-04-03,15.305000305175781,15.625,15.145000457763672,15.555000305175781,8790600.0
2020-04-06,16.104999542236328,16.225000381469727,15.954999923706055,16.114999771118164,8260000.0
2020-04-07,16.350000381469727,16.3799991607666,15.824999809265137,15.864999771118164,8302000.0
2020-04-08,15.914999961853027,16.1200008392334,15.795000076293945,16.030000686645508,7467200.0
2020-04-09,16.049999237060547,16.219999313354492,15.9399995803833,16.174999237060547,6402000.0
2020-04-13,16.209999084472656,16.3700008392334,16.014999389648438,16.350000381469727,5917200.0
2020-04-14,16.84000015258789,17.100000381469727,16.764999389648438,17.03499984741211,4893600.0
2020-04-15,16.415000915527344,16.559999465942383,16.075000762939453,16.274999618530273,5459400.0
2020-04-16,16.21500015258789,16.290000915527344,15.979999542236328,16.235000610351562,4751600.0
2020-04-17,16.53499984741211,16.600000381469727,16.290000915527344,16.579999923706055,4668800.0
2020-04-20,16.09000015258789,16.315000534057617,15.694999694824219,15.704999923706055,5060000.0
2020-04-21,15.130000114440918,15.1850004196167,14.75,15.069999694824219,7305200.0
